PHASE B TABLES (datapoints used in plots)
CSV: sweep_phaseB.csv

Aggregation note: NaN values are excluded from means/min/max and from n.

This version keeps only the thesis-useful tables and removes low-value/redundant plot summaries.

==========================================================================================
TABLE: K_vs_nusers

n_users  | series               | mean         | std          | min        | max        | n  
700      | A2 bal+split+qos     | 1.0          | 0.0          | 1.0        | 1.0        | 5  
700      | A3 bal+split+qos+lb  | 1.0          | 0.0          | 1.0        | 1.0        | 5  
800      | A0 pure+split        | 1.0          | 0.0          | 1.0        | 1.0        | 5  
800      | A1 bal+split         | 1.0          | 0.0          | 1.0        | 1.0        | 5  
800      | A2 bal+split+qos     | 1.0          | 0.0          | 1.0        | 1.0        | 5  
800      | A3 bal+split+qos+lb  | 1.0          | 0.0          | 1.0        | 1.0        | 5  
900      | A0 pure+split        | 1.0          | 0.0          | 1.0        | 1.0        | 5  
900      | A1 bal+split         | 1.0          | 0.0          | 1.0        | 1.0        | 5  
900      | A2 bal+split+qos     | 1.0          | 0.0          | 1.0        | 1.0        | 5  
900      | A3 bal+split+qos+lb  | 1.0          | 0.0          | 1.0        | 1.0        | 5  
1000     | A0 pure+split        | 1.0          | 0.0          | 1.0        | 1.0        | 5  
1000     | A1 bal+split         | 1.0          | 0.0          | 1.0        | 1.0        | 5  
1000     | A2 bal+split+qos     | 1.0          | 0.0          | 1.0        | 1.0        | 5  
1000     | A3 bal+split+qos+lb  | 1.0          | 0.0          | 1.0        | 1.0        | 5  
1250     | A0 pure+split        | 0.4          | 0.48989794855663565 | 0.0        | 1.0        | 5  
1250     | A1 bal+split         | 1.0          | 0.0          | 1.0        | 1.0        | 5  
1250     | A2 bal+split+qos     | 1.0          | 0.0          | 1.0        | 1.0        | 5  
1250     | A3 bal+split+qos+lb  | 1.0          | 0.0          | 1.0        | 1.0        | 5  
1500     | A0 pure+split        | 0.2          | 0.4000000000000001 | 0.0        | 1.0        | 5  
1500     | A1 bal+split         | 1.0          | 0.0          | 1.0        | 1.0        | 5  
1500     | A2 bal+split+qos     | 1.0          | 0.0          | 1.0        | 1.0        | 5  
1500     | A3 bal+split+qos+lb  | 1.0          | 0.0          | 1.0        | 1.0        | 5  
1750     | A0 pure+split        | 0.4          | 0.48989794855663565 | 0.0        | 1.0        | 5  
1750     | A1 bal+split         | 1.0          | 0.0          | 1.0        | 1.0        | 5  
1750     | A2 bal+split+qos     | 1.0          | 0.0          | 1.0        | 1.0        | 5  
1750     | A3 bal+split+qos+lb  | 1.0          | 0.0          | 1.0        | 1.0        | 5  
2000     | A0 pure+split        | 0.4          | 0.48989794855663565 | 0.0        | 1.0        | 5  
2000     | A1 bal+split         | 1.0          | 0.0          | 1.0        | 1.0        | 5  
2000     | A2 bal+split+qos     | 1.0          | 0.0          | 1.0        | 1.0        | 5  
2000     | A3 bal+split+qos+lb  | 1.0          | 0.0          | 1.0        | 1.0        | 5  
2250     | A0 pure+split        | 0.6          | 0.48989794855663565 | 0.0        | 1.0        | 5  
2250     | A1 bal+split         | 1.0          | 0.0          | 1.0        | 1.0        | 5  
2250     | A2 bal+split+qos     | 1.0          | 0.0          | 1.0        | 1.0        | 5  
