WALKER SIZE STUDY TABLES

Aggregation note:
- payload_feasible is best interpreted through mean
- continuous metrics are best interpreted through median and p10/p90
- by-time summary aggregates over seeds at each fixed snapshot time
- over-time summary aggregates over all runs across all fixed snapshot times and seeds

======================================================================================================================================================
INTERACTION SUMMARY BY TIME

snapshot_time_utc_iso  total_sats  n_planes  sats_per_plane  n_users  payload_feasible_mean  K_median  best_m_median  U_mean_median  U_max_median  ent_edge_pct_median  runtime_total_s_median  payload_T_over_sum_median
 2026-01-01T18:00:00Z          96         8              12     1000                    0.0       NaN            3.0            NaN           NaN                  NaN                     NaN                  15.124297
 2026-01-01T18:00:00Z          96         8              12     2000                    0.0       NaN            1.0            NaN           NaN                  NaN                     NaN                  42.220674
 2026-01-01T18:00:00Z          96         8              12     3000                    0.0       NaN            1.0            NaN           NaN                  NaN                     NaN                  76.720267
 2026-01-01T18:00:00Z          96        12               8     1000                    0.0       NaN            1.0            NaN           NaN                  NaN                     NaN                  26.238265
 2026-01-01T18:00:00Z          96        12               8     2000                    0.0       NaN            1.0            NaN           NaN                  NaN                     NaN                  75.669710
 2026-01-01T18:00:00Z          96        12               8     3000                    0.0       NaN            1.0            NaN           NaN                  NaN                     NaN                 130.133180
 2026-01-01T18:00:00Z         120         6              20     1000                    0.8      20.0            1.0       0.249879      0.773331             9.523810                0.039776                   0.000000
 2026-01-01T18:00:00Z         120         6              20     2000                    0.6      33.0            1.0       0.156964      0.899623             0.000000                0.063931                   0.000000
 2026-01-01T18:00:00Z         120         6              20     3000                    0.4      43.0            1.0       0.124084      0.469425             8.333333                0.075825                   5.744171
 2026-01-01T18:00:00Z         120         8              15     1000                    1.0      93.0            3.0       0.284890      1.350462             8.695652                0.334792                   0.000000
 2026-01-01T18:00:00Z         120         8              15     2000                    0.4     166.0            3.0       0.249732      1.136131             5.769231                2.460820                   2.218565
 2026-01-01T18:00:00Z         120         8              15     3000                    0.0       NaN            1.0            NaN           NaN                  NaN                     NaN                  55.489774
 2026-01-01T18:00:00Z         120        12              10     1000                    0.4     137.0            2.0       0.258522      2.217575            13.548951                0.431901                   3.907607
 2026-01-01T18:00:00Z         120        12              10     2000                    0.0       NaN            1.0            NaN           NaN                  NaN                     NaN                  71.703792
 2026-01-01T18:00:00Z         120        12              10     3000                    0.0       NaN            1.0            NaN           NaN                  NaN                     NaN                 121.792636
 2026-01-01T18:00:00Z         144         6              24     1000                    0.0       NaN            3.0            NaN           NaN                  NaN                     NaN                  24.189937
 2026-01-01T18:00:00Z         144         6              24     2000                    0.0       NaN            1.0            NaN           NaN                  NaN                     NaN                  70.784955
 2026-01-01T18:00:00Z         144         6              24     3000                    0.0       NaN            1.0            NaN           NaN                  NaN                     NaN                 123.186237
 2026-01-01T18:00:00Z         144         8              18     1000                    0.0       NaN            1.0            NaN           NaN                  NaN                     NaN                  28.183729
 2026-01-01T18:00:00Z         144         8              18     2000                    0.0       NaN            1.0            NaN           NaN                  NaN                     NaN                  77.507489
 2026-01-01T18:00:00Z         144         8              18     3000                    0.0       NaN            1.0            NaN           NaN                  NaN                     NaN                 126.249497
 2026-01-01T18:00:00Z         144        12              12     1000                    0.0       NaN            2.0            NaN           NaN                  NaN                     NaN                  10.439235
 2026-01-01T18:00:00Z         144        12              12     2000                    0.0       NaN            1.0            NaN           NaN                  NaN                     NaN                  42.220674
 2026-01-01T18:00:00Z         144        12              12     3000                    0.0       NaN            1.0            NaN           NaN                  NaN                     NaN                  76.720267
 2026-01-01T18:00:00Z         168         6              28     1000                    0.6      76.0            2.0       0.291448      1.612040            10.869565                0.146409                   0.000000
 2026-01-01T18:00:00Z         168         6              28     2000                    0.0       NaN            1.0            NaN           NaN                  NaN                     NaN                  22.200699
 2026-01-01T18:00:00Z         168         6              28     3000                    0.0       NaN            1.0            NaN           NaN                  NaN                     NaN                  51.644003
 2026-01-01T18:00:00Z         168         8              21     1000                    0.0       NaN            4.0            NaN           NaN                  NaN                     NaN                   9.215318
 2026-01-01T18:00:00Z         168         8              21     2000                    0.0       NaN            1.0            NaN           NaN                  NaN                     NaN                  94.765594
 2026-01-01T18:00:00Z         168         8              21     3000                    0.0       NaN            1.0            NaN           NaN                  NaN                     NaN                 142.884745
